
2024/05/06 (01:04:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (01:04:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (01:53:52) | ===> btop++ v.1.3.2
2024/05/06 (01:53:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (01:53:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (01:58:21) | ===> btop++ v.1.3.2
2024/05/06 (01:58:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (01:58:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (02:01:07) | ===> btop++ v.1.3.2
2024/05/06 (02:01:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (02:01:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (02:03:54) | ===> btop++ v.1.3.2
2024/05/06 (02:03:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (02:03:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (02:04:04) | ===> btop++ v.1.3.2
2024/05/06 (02:04:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (02:04:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (02:19:14) | ===> btop++ v.1.3.2
2024/05/06 (02:19:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (02:19:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (02:21:25) | ===> btop++ v.1.3.2
2024/05/06 (02:21:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (02:21:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (02:24:39) | ===> btop++ v.1.3.2
2024/05/06 (02:24:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (02:24:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (02:24:57) | ===> btop++ v.1.3.2
2024/05/06 (02:24:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (02:24:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (02:47:24) | ===> btop++ v.1.3.2
2024/05/06 (02:47:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (02:47:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (03:19:15) | ===> btop++ v.1.3.2
2024/05/06 (03:19:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (03:19:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (03:19:22) | ===> btop++ v.1.3.2
2024/05/06 (03:19:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (03:19:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (03:19:45) | ===> btop++ v.1.3.2
2024/05/06 (03:19:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (03:19:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (04:32:47) | ===> btop++ v.1.3.2
2024/05/06 (04:32:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (04:32:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (05:57:03) | ===> btop++ v.1.3.2
2024/05/06 (05:57:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (05:57:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (06:15:17) | ===> btop++ v.1.3.2
2024/05/06 (06:15:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (06:15:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (06:24:24) | ===> btop++ v.1.3.2
2024/05/06 (06:24:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (06:24:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (18:47:37) | ===> btop++ v.1.3.2
2024/05/06 (18:47:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (18:47:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (18:49:20) | ===> btop++ v.1.3.2
2024/05/06 (18:49:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (18:49:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (20:41:59) | ===> btop++ v.1.3.2
2024/05/06 (20:41:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (20:41:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (20:55:07) | ===> btop++ v.1.3.2
2024/05/06 (20:55:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (20:55:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (20:57:42) | ===> btop++ v.1.3.2
2024/05/06 (20:57:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (20:57:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (21:11:20) | ===> btop++ v.1.3.2
